Date,^SP500TR
1997-12-01,1302.8199462890625
1997-12-02,1298.699951171875
1997-12-03,1305.8399658203125
1997-12-04,1300.97998046875
1997-12-05,1315.280029296875
1997-12-08,1313.469970703125
1997-12-09,1304.6600341796875
1997-12-10,1296.739990234375
1997-12-11,1277.219970703125
1997-12-12,1275.1600341796875
1997-12-15,1288.56005859375
1997-12-16,1294.780029296875
1997-12-17,1291.52001953125
1997-12-18,1277.8900146484375
1997-12-19,1266.5
1997-12-22,1275.780029296875
1997-12-23,1256.3199462890625
1997-12-24,1247.75
1997-12-26,1252.7900390625
1997-12-29,1275.81005859375
1997-12-30,1299.3399658203125
1997-12-31,1298.8199462890625
1998-01-02,1305.0400390625
1998-01-05,1307.780029296875
1998-01-06,1293.800048828125
1998-01-07,1290.6600341796875
1998-01-08,1280.0699462890625
1998-01-09,1242.0999755859375
1998-01-12,1257.530029296875
1998-01-13,1274.8699951171875
1998-01-14,1282.7099609375
1998-01-15,1273.0999755859375
1998-01-16,1287.530029296875
1998-01-20,1310.4300537109375
1998-01-21,1300.0799560546875
1998-01-22,1289.6800537109375
1998-01-23,1282.4000244140625
1998-01-26,1281.5400390625
1998-01-27,1297.699951171875
1998-01-28,1309.31005859375
1998-01-29,1320.1600341796875
1998-01-30,1313.18994140625
1998-02-02,1341.3199462890625
1998-02-03,1347.719970703125
1998-02-04,1349.1099853515625
1998-02-05,1344.77001953125
1998-02-06,1356.9599609375
1998-02-09,1354.75
1998-02-10,1365.8499755859375
1998-02-11,1367.489990234375
1998-02-12,1373.1600341796875
1998-02-13,1367.77001953125
1998-02-17,1371.4100341796875
1998-02-18,1384.239990234375
1998-02-19,1379.18994140625
1998-02-20,1387.1600341796875
1998-02-23,1392.4599609375
1998-02-24,1382.2900390625
1998-02-25,1399.0400390625
1998-02-26,1406.949951171875
1998-02-27,1407.9000244140625
1998-03-02,1405.72998046875
1998-03-03,1411.5400390625
1998-03-04,1405.56005859375
1998-03-05,1389.27001953125
1998-03-06,1417.0999755859375
1998-03-09,1412.5799560546875
1998-03-10,1428.6300048828125
1998-03-11,1434.56005859375
1998-03-12,1436.72998046875
1998-03-13,1434.989990234375
1998-03-16,1449.3299560546875
1998-03-17,1450.9100341796875
1998-03-18,1457.7900390625
1998-03-19,1463.510009765625
1998-03-20,1476.1700439453125
1998-03-23,1471.3499755859375
1998-03-24,1484.9200439453125
1998-03-25,1479.949951171875
1998-03-26,1478.4300537109375
1998-03-27,1471.489990234375
1998-03-30,1468.969970703125
1998-03-31,1480.0
1998-04-01,1488.699951171875
1998-04-02,1504.68994140625
1998-04-03,1508.3199462890625
1998-04-06,1506.56005859375
1998-04-07,1491.1199951171875
1998-04-08,1480.5400390625
1998-04-09,1492.6800537109375
1998-04-13,1491.449951171875
1998-04-14,1499.5899658203125
1998-04-15,1504.4000244140625
1998-04-16,1489.43994140625
1998-04-17,1509.010009765625
1998-04-20,1510.260009765625
1998-04-21,1514.3299560546875
1998-04-22,1519.6199951171875
1998-04-23,1504.9100341796875
1998-04-24,1489.2099609375
1998-04-27,1460.5
1998-04-28,1458.72998046875
1998-04-29,1471.77001953125
1998-04-30,1494.8900146484375
1998-05-01,1507.3299560546875
1998-05-04,1508.77001953125
1998-05-05,1499.969970703125
1998-05-06,1486.0999755859375
1998-05-07,1472.97998046875
1998-05-08,1490.47998046875
1998-05-11,1489.199951171875
1998-05-12,1501.5799560546875
1998-05-13,1506.0
1998-05-14,1504.030029296875
1998-05-15,1492.4599609375
1998-05-18,1488.7099609375
1998-05-19,1493.699951171875
1998-05-20,1506.75
1998-05-21,1500.800048828125
1998-05-22,1495.18994140625
1998-05-26,1473.06005859375
1998-05-27,1470.8399658203125
1998-05-28,1478.280029296875
1998-05-29,1469.18994140625
1998-06-01,1469.4599609375
1998-06-02,1472.47998046875
1998-06-03,1458.6800537109375
1998-06-04,1474.989990234375
1998-06-05,1500.6800537109375
1998-06-08,1503.27001953125
1998-06-09,1506.9300537109375
1998-06-10,1498.75
1998-06-11,1475.2900390625
1998-06-12,1481.06005859375
1998-06-15,1451.6500244140625
1998-06-16,1465.9100341796875
1998-06-17,1492.280029296875
1998-06-18,1491.3499755859375
1998-06-19,1483.6500244140625
1998-06-22,1487.1199951171875
1998-06-23,1509.0699462890625
1998-06-24,1527.1800537109375
1998-06-25,1522.3199462890625
1998-06-26,1527.8599853515625
1998-06-29,1535.010009765625
1998-06-30,1528.8699951171875
1998-07-01,1548.77001953125
1998-07-02,1545.8900146484375
1998-07-06,1560.8299560546875
1998-07-07,1557.25
1998-07-08,1573.449951171875
1998-07-09,1562.9200439453125
1998-07-10,1570.7099609375
1998-07-13,1571.9300537109375
1998-07-14,1588.6700439453125
1998-07-15,1584.93994140625
1998-07-16,1597.3599853515625
1998-07-17,1601.0799560546875
1998-07-20,1597.52001953125
1998-07-21,1571.8499755859375
1998-07-22,1570.6300048828125
1998-07-23,1537.8199462890625
1998-07-24,1539.22998046875
1998-07-27,1547.969970703125
1998-07-28,1524.989990234375
1998-07-29,1518.5
1998-07-30,1542.6600341796875
1998-07-31,1512.5899658203125
1998-08-03,1501.530029296875
1998-08-04,1447.1500244140625
1998-08-05,1459.9200439453125
1998-08-06,1471.1199951171875
1998-08-07,1470.8800048828125
1998-08-10,1462.449951171875
1998-08-11,1443.6099853515625
1998-08-12,1464.469970703125
1998-08-13,1451.9300537109375
1998-08-14,1435.5799560546875
1998-08-17,1463.8800048828125
1998-08-18,1487.7099609375
1998-08-19,1483.56005859375
1998-08-20,1474.9200439453125
